 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> October 06, 2021 
 ==================================================================

 Disk File Name = SRIM Outputs\Carbon in Helium (gas).txt

 Ion = Carbon [6] , Mass = 12 amu

 Target Density =  9.3100E-05 g/cm3 = 1.4006E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     He      2    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  keV / micron   
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  40.00 MeV   3.994E-02  1.838E-05  690.92 mm    22.35 mm     4.36 mm  
  45.00 MeV   3.666E-02  1.655E-05  821.60 mm    29.02 mm     4.84 mm  
  50.00 MeV   3.388E-02  1.506E-05  963.48 mm    35.30 mm     5.37 mm  
  55.00 MeV   3.149E-02  1.383E-05    1.12 m     41.43 mm     5.95 mm  
  60.00 MeV   2.942E-02  1.279E-05    1.28 m     47.52 mm     6.58 mm  
  65.00 MeV   2.761E-02  1.190E-05    1.46 m     53.62 mm     7.26 mm  
  70.00 MeV   2.602E-02  1.114E-05    1.64 m     59.78 mm     7.98 mm  
  80.00 MeV   2.332E-02  9.877E-06    2.05 m     82.94 mm     9.56 mm  
  90.00 MeV   2.113E-02  8.884E-06    2.50 m    104.64 mm    11.33 mm  
 100.00 MeV   1.931E-02  8.079E-06    2.99 m    125.96 mm    13.28 mm  
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  1.0000E-01                 eV / Angstrom 
  1.0000E+00                keV / micron   
  1.0000E+00                MeV / mm       
  1.0741E+02                keV / (ug/cm2) 
  1.0741E+02                MeV / (mg/cm2) 
  1.0741E+05                keV / (mg/cm2) 
  7.1399E+02                 eV / (1E15 atoms/cm2)
  2.0735E+01                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
